cust_id    Recommendations
C0001  :  [('C0107', 0.9996), ('C0152', 0.9986), ('C0174', 0.9963)]
C0002  :  [('C0175', 0.9967), ('C0084', 0.9928), ('C0142', 0.9923)]
C0003  :  [('C0091', 0.9905), ('C0158', 0.9903), ('C0006', 0.9899)]
C0004  :  [('C0099', 0.9964), ('C0012', 0.9913), ('C0155', 0.9903)]
C0005  :  [('C0186', 0.9969), ('C0045', 0.9941), ('C0173', 0.9939)]
C0006  :  [('C0187', 0.9964), ('C0158', 0.9957), ('C0107', 0.9954)]
C0007  :  [('C0186', 0.9665), ('C0040', 0.9664), ('C0140', 0.9651)]
C0008  :  [('C0098', 0.99), ('C0122', 0.9847), ('C0109', 0.9821)]
C0009  :  [('C0198', 0.9948), ('C0061', 0.9792), ('C0199', 0.9773)]
C0010  :  [('C0199', 0.9951), ('C0070', 0.9901), ('C0069', 0.989)]
C0011  :  [('C0174', 0.9979), ('C0126', 0.9949), ('C0001', 0.9937)]
C0012  :  [('C0195', 0.9953), ('C0096', 0.9939), ('C0155', 0.9935)]
C0013  :  [('C0155', 0.9992), ('C0108', 0.9957), ('C0087', 0.9941)]
C0014  :  [('C0073', 0.9257), ('C0060', 0.8993), ('C0062', 0.8872)]
C0015  :  [('C0042', 0.98), ('C0050', 0.9658), ('C0131', 0.9633)]
C0016  :  [('C0183', 0.9989), ('C0026', 0.9932), ('C0030', 0.9909)]
C0017  :  [('C0041', 0.9946), ('C0075', 0.9933), ('C0051', 0.9931)]
C0018  :  [('C0079', 0.9901), ('C0026', 0.9826), ('C0034', 0.9804)]
C0019  :  [('C0069', 0.9923), ('C0010', 0.9843), ('C0199', 0.9842)]
C0020  :  [('C0058', 0.9982), ('C0033', 0.9556), ('C0144', 0.9415)]
